2025-09-09 10:38:35,093 [ERROR] ./logs/service3.log doesn't exists, for this service service3
2025-09-09 10:38:35,096 [ERROR] ./logs/service3.log doesn't exists, for this service service3
2025-09-09 10:39:16,745 [ERROR] ./logs/service3.log doesn't exists, for this service service3
2025-09-09 10:39:16,751 [ERROR] ./logs/service3.log doesn't exists, for this service service3
2025-09-09 10:39:33,830 [ERROR] ./logs/service3.log doesn't exists, for this service service3
2025-09-09 10:39:33,833 [ERROR] ./logs/service3.log doesn't exists, for this service service3
2025-09-09 10:40:46,142 [ERROR] ./generated_logs/service1.log doesn't exists, for this service service1
2025-09-09 10:40:46,142 [ERROR] ./generated_logs/service2.log doesn't exists, for this service service2
2025-09-09 10:40:46,142 [ERROR] ./logs/service3.log doesn't exists, for this service service3
2025-09-09 10:40:46,146 [ERROR] ./logs/service3.log doesn't exists, for this service service3
2025-09-09 10:45:12,089 [ERROR] ./logs/service3.log doesn't exists, for this service service3
2025-09-09 15:34:38,632 [ERROR] ./logs/service3.log doesn't exists, for this service service3
2025-09-09 15:34:38,637 [ERROR] ./logs/service3.log doesn't exists, for this service service3
2025-09-09 15:35:23,817 [ERROR] ./logs/service3.log doesn't exists, for this service service3
2025-09-09 15:35:23,822 [ERROR] ./logs/service3.log doesn't exists, for this service service3
